lambda,scale,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,delta_ll,delta_acc
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,0,4,0.75,-0.6923275991814979,0.75,-0.6474770576780244,0.04485054150347345,0.0
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,1,4,0.5,-0.692107728588651,0.75,-0.6227211444561678,0.06938658413248322,0.25
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,2,4,0.5,-0.6930055898490717,0.5,-0.6739875225166478,0.019018067332423838,0.0
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,4,0.75,-0.6921698893625947,1.0,-0.596088529211675,0.09608136015091973,0.25
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,4,0.5,-0.6916124977152831,0.75,-0.5715242462068771,0.12008825150840596,0.25
0.05,0.5,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,0,4,0.75,-0.6928161057074206,0.75,-0.6648660318813502,0.0279500738260704,0.0
0.05,0.5,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,1,4,0.25,-0.6937101957354634,0.5,-0.7411775624979983,-0.047467366762534824,0.25
0.05,0.5,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,2,4,0.75,-0.6924772749383264,0.75,-0.6567590395961703,0.035718235342156124,0.0
0.05,0.5,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,4,0.75,-0.692553249130433,0.75,-0.6580823375180933,0.03447091161233973,0.0
0.05,0.5,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,4,0.5,-0.6927715965415814,0.5,-0.6851833881273592,0.007588208414222142,0.0
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,0,4,1.0,-0.6922145708976619,0.75,-0.6026404871534607,0.08957408374420117,-0.25
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,1,4,0.5,-0.6935194048429342,0.5,-0.7603528470111593,-0.06683344216822518,0.0
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,2,4,0.5,-0.6928434999593708,0.5,-0.6976816208965292,-0.004838120937158408,0.0
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,3,4,0.5,-0.6925147737062834,0.75,-0.6190258011002241,0.07348897260605936,0.25
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,4,4,0.75,-0.6922641213528324,0.75,-0.6065493532940868,0.08571476805874567,0.0
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,inference_categories,dailydilemmas,0,4,0.75,-0.6928992813204569,0.5,-0.6881436706618054,0.004755610658651488,-0.25
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,inference_categories,dailydilemmas,1,4,0.75,-0.692487035620315,0.75,-0.6017178323655075,0.09076920325480753,0.0
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,inference_categories,dailydilemmas,2,4,0.25,-0.6934830207785968,0.5,-0.7359075076154111,-0.042424486836814324,0.25
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,inference_categories,dailydilemmas,3,4,0.75,-0.6924371284265671,1.0,-0.6279432617805013,0.06449386664606582,0.25
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,inference_categories,dailydilemmas,4,4,0.75,-0.691991702915315,0.75,-0.6050158782572141,0.08697582465810083,0.0
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,inference_categories,dailydilemmas,0,4,0.5,-0.6932046971065635,0.25,-0.741775498591112,-0.04857080148454851,-0.25
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,inference_categories,dailydilemmas,1,4,0.75,-0.6933010362528886,0.5,-0.6859076063144391,0.007393429938449492,-0.25
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,inference_categories,dailydilemmas,2,4,0.5,-0.6925393726246563,0.75,-0.665122000780802,0.027417371843854288,0.25
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,inference_categories,dailydilemmas,3,4,0.25,-0.693672157233209,0.25,-0.7168412085314801,-0.02316905129827118,0.0
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,inference_categories,dailydilemmas,4,4,0.5,-0.6927479762012052,0.5,-0.670032049325954,0.022715926875251258,0.0
0.05,0.5,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,0,4,0.5,-0.6916147042699178,0.5,-0.6598997283853102,0.03171497588460759,0.0
0.05,0.5,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,1,4,1.0,-0.6899870586634695,1.0,-0.5422750011558435,0.14771205750762606,0.0
0.05,0.5,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,2,4,0.25,-0.6917238616310285,0.75,-0.5877377238915852,0.10398613773944332,0.5
0.05,0.5,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,3,4,1.0,-0.6891156439819446,1.0,-0.45873260983152125,0.23038303415042333,0.0
0.05,0.5,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,4,4,0.75,-0.6902118746874193,1.0,-0.4993302218324857,0.19088165285493358,0.25
0.05,0.5,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,0,4,0.75,-0.6923560192102111,0.75,-0.6401739322248834,0.05218208698532767,0.0
0.05,0.5,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,1,4,0.5,-0.692708683905009,0.5,-0.6460498759101498,0.04665880799485911,0.0
0.05,0.5,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,2,4,0.5,-0.6938594465566419,0.5,-0.7282127247213676,-0.034353278164725665,0.0
0.05,0.5,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,3,4,0.25,-0.693157141606494,0.5,-0.6873579585939784,0.005799183012515585,0.25
0.05,0.5,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,4,4,0.75,-0.6923894076906529,0.5,-0.6344938812304723,0.05789552646018059,-0.25
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,0,5,0.6,-0.6920068818772697,0.6,-0.6186030952527987,0.073403786624471,0.0
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,1,5,0.8,-0.6917348847637751,0.8,-0.5885556176687191,0.10317926709505598,0.0
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,2,5,0.8,-0.6916545545853191,0.8,-0.614200785914317,0.07745376867100207,0.0
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,3,5,1.0,-0.6917046586626592,1.0,-0.5507880545678324,0.14091660409482676,0.0
